Pc Name,Key,Range,Index(starting from 1),Real Letter,Encrypted Message
,,,,,
qjaisydmzp,21,18 to 21,9,z,levdntyhuk
,,,,,
andiwnakao,5,4 to 7,5,w,fsinbsfpft
,,,,,
cbqixnamqa,24,22 to 25,4,i,azogvlykoy
,,,,,
aqoxnwiaxz,1,1 to 4,3,o,brpyoxjbya
,,,,,
qnzobqnzlx,13,13 to 16,3,z,dambodamyk
,,,,,
znwosqunxp,15,13 to 16,3,w,ocldhfjcme
,,,,,
fgjnmpokjh,18,16 to 19,2,g,xybfehgcbz
,,,,,
ijhgderatg,20,17 to 20,1,i,cdbaxyluna
,,,,,
wertgbnkoi,25,22 to 25,7,n,vdqsfamjnh
,,,,,
dftyhbnkla,18,16 to 19,2,f,vxlqztfcds
,,,,,
ertyhnkokm,20,18 to 21,6,n,ylnsbheieg
,,,,,
ghjuikjnbu,11,9 to 12,8,n,rsuftvuymf
,,,,,
wertyhbjhb,18,17 to 20,5,y,owjlqztbzt
,,,,,
oiujhbazxj,16,13 to 16,9,x,eykzxrqpnz
,,,,,
fgyuikmazs,15,14 to 17,7,m,uvnjxzbpoh
,,,,,
ikjnrfgbls,17,16 to 19,2,k,zbaeiwxscj
,,,,,
swedrfgthj,25,22 to 25,4,d,rvdcqefsgi
,,,,,
plkjnhbkjb,4,4 to 7,9,j,tponrlfonf
,,,,,
ojhgvbnjkl,7,4 to 7,5,v,vqonciuqrs
,,,,,
sdrftyhbnm,9,9 to 12,6,y,bmaochqkwv
